Company,Stage,Dealflow,region,creation date,description,markets,follow on rate,number of deals (12months),investment by stage,market value
undefined Syndicate,Pre-Seed,Low,USA,01-2023,undefined Syndicate is a venture capital firm that invests in early-stage companies.  They focus on pre-seed investments and have a portfolio of companies in various sectors.,"['SaaS', 'Fintech', 'AI']",10.0%,2.0,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",15M$
Pete Soderling,Medium,Low,USA,01-2024,"Pete Soderling is a mid-stage company with a focus on growth and expansion.  They likely operate in the technology sector, given the medium stage, and have a low deal flow, suggesting a more focused investment strategy.",['Technology'],40.0%,8.0,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Jake Seid,Pre-Seed,Low,USA,01-2024,"Jake Seid is an angel investor focusing on pre-seed investments in early-stage startups.  His investments span various sectors, with a focus on companies showing high growth potential.","['SaaS', 'Fintech', 'AI']",15.0%,3.0,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",10M$
N49P,Medium,Low,Europe,01-2024,"N49P is a mid-stage investment firm focusing on European companies.  They invest across various sectors, showing interest in companies with scalable business models.","['SaaS', 'Fintech', 'Healthtech']",40.0%,8.0,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
Ankur Nagpal,Seed,Low,USA,01-2024,Ankur Nagpal is an angel investor and VC focusing on seed-stage investments.  His portfolio likely includes early-stage companies with high-growth potential across various sectors.,"['SaaS', 'Fintech', 'AI']",20.0%,3.0,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",15M$
PIRQUE ΔHEΔD,Medium,Low,USA,07-2022,PIRQUE ΔHEΔD is a mid-stage investment firm focusing on companies in the technology sector.  They have a moderate deal flow and concentrate investments across various technology markets.,"['SaaS', 'Fintech', 'AI']",35.0%,9.0,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Fractal Venture Investments,Pre-Seed,Low,India,01-2024,Fractal Venture Investments is a venture capital firm that invests in pre-seed startups.  They are focused on the Indian market and may invest across various sectors.,"['SaaS', 'Fintech', 'AI']",10.0%,3.0,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",30M$
SaaSholic,Medium,Low,USA,03-2022,"SaaSholic is a company in the medium stage, focusing on SaaS solutions.  They have a low deal flow, suggesting a more selective investment strategy.",['SaaS'],30.0%,8.0,"{'seed': '10%', 'early': '70%', 'growth': '20%'}",150M$
Wuri Ventures,Series A,Low,USA,03-2022,"Wuri Ventures is a venture capital firm that invests in Series A startups, focusing on companies with innovative technologies and high-growth potential. Their investments span various sectors, including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",35.0%,8.0,"{'seed': '10%', 'early': '70%', 'growth': '20%'}",150M$
Frontierspace VC,Medium,Low,USA,03-2022,"Frontierspace VC is a venture capital firm that invests in companies at the medium stage across various sectors.  They have a low deal flow, indicating a selective investment approach.","['SaaS', 'Fintech']",38.0%,8.0,"{'seed': '15%', 'early': '60%', 'growth': '25%'}",150M$
The MBA Fund,Pre-Seed,Low,USA,01-2024,The MBA Fund is a venture capital firm that invests in pre-seed and seed-stage companies.  They are focused on supporting promising startups with strong business models and passionate teams.,"['SaaS', 'Fintech', 'Healthtech']",15.0%,3.0,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",20M$
Benjamin Bryant's Access Fund,Medium,Low,USA,01-2024,"Benjamin Bryant's Access Fund is an investment firm focusing on mid-stage companies across various sectors.  They have a measured approach to deal flow, concentrating on investments with strong potential for growth.","['SaaS', 'Fintech', 'Healthtech']",30.0%,8.0,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
The Nordic Web,Series A,Low,Europe,03-2019,"The Nordic Web is a venture capital firm that invests in Series A startups in the SaaS and Fintech industries, primarily in the Nordic region.  They focus on companies with strong potential for growth and scalability within the European market.","['SaaS', 'Fintech']",40.0%,8.0,"{'seed': '30%', 'early': '60%', 'growth': '10%'}",150M$
P1 Ventures,Medium,Low,India,01-2024,P1 Ventures is an Indian venture capital firm that focuses on mid-stage investments across various sectors.  They have a demonstrated interest in supporting companies with strong growth potential.,"['SaaS', 'Fintech', 'Healthtech']",35.0%,8.0,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Cabra VC,Pre-Seed,Low,UK,01-2024,Cabra VC is a venture capital firm that invests in pre-seed stage startups.  They are focused on the UK market and appear to have a broad investment approach across various sectors.,"['SaaS', 'Fintech', 'Healthtech']",15.0%,3.0,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",30M$
Inuka Capital,Medium,Low,India,12-2024,Inuka Capital is a pioneering company in SaaS.,"['Healthtech', 'AI']",36.0%,25.0,"{'seed': '53%', 'early': '25%', 'growth': '7%'}",97$
"Arka Venture Labs (Fund II) (India-US preseed fund, 38 investmen",Seed,Low,Unknown,,Unknown,Unknown,30.437908496732025%,,,
Amara.VC,Medium,Low,USA,01-2024,"Amara.VC is a venture capital firm that invests in companies at various stages, focusing on growth and expansion.  Their portfolio likely includes companies across several sectors, demonstrating a broad investment strategy.","['SaaS', 'Fintech', 'Healthtech']",35.0%,10.0,"{'seed': '30%', 'early': '45%', 'growth': '25%'}",150M$
Not Boring,Series A,Low,USA,01-2022,"Not Boring is a venture capital firm that invests in Series A startups across various sectors, with a focus on innovative and disruptive technologies.  They are known for their strategic partnerships and a keen eye for high-growth potential.","['SaaS', 'Fintech', 'AI']",40.0%,8.0,"{'seed': '30%', 'early': '60%', 'growth': '10%'}",150M$
Newlin.vc,Medium,Low,USA,03-2022,"Newlin.vc is a venture capital firm that invests in growth-stage companies. They focus on investments in the technology sector, including SaaS and Fintech companies.","['SaaS', 'Fintech']",30.0%,8.0,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",180M$
Kube VC,Pre-Seed,Low,USA,03-2022,"Kube VC is a venture capital firm that invests in pre-seed and seed-stage startups.  They focus on companies in the SaaS and Fintech sectors, with a particular interest in innovative technologies.","['SaaS', 'Fintech']",15.0%,3.0,"{'seed': '10%', 'early': '5%', 'growth': '1%'}",15M$
Prithvi Ventures,Medium,Low,India,01-2024,"Prithvi Ventures is an Indian investment firm focusing on mid-stage companies, primarily within the technology and consumer goods sectors.  They have a balanced portfolio of companies showing moderate growth potential.","['Technology', 'Consumer Goods']",30.0%,8.0,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Evolutionary Ventures,Pre-Seed,Low,USA,01-2024,Evolutionary Ventures is a venture capital firm that invests in early-stage companies.  They focus on pre-seed investments and have a keen interest in innovative technologies.,"['AI', 'SaaS', 'Fintech']",15.0%,3.0,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",25M$
Great Circle Ventures,Medium,Low,USA,01-2024,"Great Circle Ventures is a venture capital firm that invests in companies at the medium stage, focusing on various sectors with a moderate deal flow.","['SaaS', 'Fintech', 'Healthtech']",40.0%,8.0,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Calculated Leap Ventures,Series A,Low,USA,03-2022,Calculated Leap Ventures is a venture capital firm that invests in Series A companies.  They focus on technology companies with high growth potential.,"['SaaS', 'Fintech']",35.0%,8.0,"{'seed': '15%', 'early': '60%', 'growth': '25%'}",95M$
Tech Investor Club - Syndicate,Medium,Low,USA,01-2024,"Tech Investor Club - Syndicate is a venture capital firm that invests in technology companies at various stages of growth.  They have a focus on medium-stage companies and a low deal flow, suggesting selectivity in their investments.","['SaaS', 'Fintech', 'AI']",35.0%,8.0,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
DayDream Ventures,Seed+,Low,USA,01-2024,DayDream Ventures is a venture capital firm that invests in Seed+ stage startups.  They focus on early-stage companies with high-growth potential and a strong technology focus.,"['SaaS', 'Fintech', 'AI']",20.0%,3.0,"{'seed': '60%', 'early': '30%', 'growth': '10%'}",35M$
Ten31 Bitcoin and Freedom Tech Syndicate,Medium,Low,USA,01-2024,"Ten31 Bitcoin and Freedom Tech Syndicate is a syndicate investing in companies within the Fintech and Cryptocurrency sectors, focusing on growth-stage opportunities and demonstrating a commitment to technological advancement.","['Fintech', 'Cryptocurrency']",40.0%,8.0,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
TDV Partners (US) | Ujwal's Syndicate,Seed+,Low,USA,01-2022,TDV Partners (US) | Ujwal's Syndicate is a venture capital firm that invests in seed and seed+ stage startups.  They focus on companies with high-growth potential across various sectors.,"['SaaS', 'Fintech', 'AI']",20.0%,3.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",35M$
Nomad Ventures,Medium,Low,USA,01-2024,"Nomad Ventures is a venture capital firm that invests in companies at the medium stage, focusing on various sectors.  They have a low deal flow, suggesting a selective investment strategy.","['SaaS', 'Fintech', 'Healthtech']",40.0%,8.0,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
GoodTech Electric,Seed+,Low,USA,03-2022,GoodTech Electric is a seed+ stage company focused on sustainable energy solutions.  They are developing innovative technologies in the cleantech sector.,"['Cleantech', 'Energy']",20.0%,3.0,"{'seed': '70%', 'early': '25%', 'growth': '5%'}",15M$
Network Ventures Syndicate,Medium,Low,USA,01-2024,"Network Ventures Syndicate is a venture capital firm that invests in companies at various stages, focusing on medium-stage companies and offering guidance and resources to help them grow.  They have a low deal flow, indicating a selective investment approach.","['SaaS', 'Fintech']",40.0%,8.0,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Ayuh Ventures,Seed,Low,USA,12-2024,Ayuh Ventures is a pioneering company in AI.,"['Fintech', 'Healthtech']",63.0%,22.0,"{'seed': '55%', 'early': '11%', 'growth': '9%'}",70$
Maya Bakhai,Medium,Low,USA,01-2022,Maya Bakhai is a mid-stage investment firm focusing on companies in the SaaS and Fintech sectors. They have a strong interest in supporting businesses with innovative solutions and high-growth potential.,"['SaaS', 'Fintech']",35.0%,9.0,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Atman,Seed,Low,India,01-2022,"Atman is a seed-stage investment firm focusing on early-stage startups in India.  They primarily invest in companies within the technology sector, showing particular interest in AI and SaaS solutions.","['AI', 'SaaS']",20.0%,3.0,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",15M$
Kindergarten Ventures,Medium,Low,USA,01-2024,"Kindergarten Ventures is a venture capital firm that focuses on mid-stage investments in technology companies.  They are known for supporting companies with strong potential in various sectors, likely including SaaS, Fintech, and potentially AI or Healthtech.","['SaaS', 'Fintech']",40.0%,8.0,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
"Textbook Ventures - Founders from Columbia, Cornell, and NYU",Seed+,Low,USA,01-2022,"Textbook Ventures is a venture capital firm focused on seed and Series A investments, with founders from prestigious universities such as Columbia, Cornell, and NYU.  They primarily invest in early-stage companies showing strong potential within the technology sector.","['SaaS', 'Fintech', 'AI']",25.0%,3.0,"{'seed': '70%', 'early': '25%', 'growth': '5%'}",35M$
Arkstons Capital,Medium,Low,USA,01-2024,"Arkstons Capital is a mid-stage investment firm focusing on growth-oriented companies.  They have a diversified portfolio across various sectors, supporting companies in their expansion.","['SaaS', 'Fintech', 'Healthtech']",40.0%,8.0,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
Sunflower Fund,Series B,Low,USA,03-2015,Sunflower Fund is a venture capital firm that invests in growth-stage companies.  They have a particular interest in the SaaS and Fintech sectors and are known for supporting companies through their Series B and beyond.,"['SaaS', 'Fintech']",55.0%,8.0,"{'seed': '10%', 'early': '25%', 'growth': '65%'}",350M$
Caisson Capital Ventures,Medium,Low,USA,01-2024,"Caisson Capital Ventures is a venture capital firm that invests in companies at the medium stage of development, focusing on a range of sectors including technology, healthcare, and consumer goods.  They have a low deal flow, suggesting a more selective investment strategy.","['Technology', 'Healthcare', 'Consumer Goods']",40.0%,8.0,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
Ollie Howie,Seed,Low,UK,01-2024,Ollie Howie is a seed-stage venture capital firm focusing on early-stage investments.  They likely concentrate on UK-based startups and may specialize in a niche market such as Fintech or SaaS.,"['Fintech', 'SaaS']",20.0%,3.0,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",15M$
Potluck Ventures (backing #AAPI founders),Medium,Low,USA,01-2024,Potluck Ventures is a venture capital firm that focuses on investing in companies founded by Asian Americans and Pacific Islanders.  They invest across various sectors and have a medium stage focus.,"['SaaS', 'Fintech', 'Healthtech']",30.0%,8.0,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Mute Ventures,Pre-Seed,Low,UK,03-2023,"Mute Ventures is a UK-based venture capital firm that invests in early-stage startups, particularly those in the pre-seed stage.  They focus on a variety of sectors including Fintech and SaaS.","['Fintech', 'SaaS']",15.0%,3.0,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",20M$
Gonio Ventures,Medium,Low,USA,01-2024,"Gonio Ventures is a venture capital firm that invests in companies at the medium stage of development, focusing on a range of sectors including SaaS, Fintech, and Healthtech.","['SaaS', 'Fintech', 'Healthtech']",40.0%,8.0,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Youth Development Fund,Series A,Low,USA,01-2022,Youth Development Fund is a venture capital firm that focuses on Series A investments in companies that are developing innovative solutions for youth development.  They primarily invest in companies within the Education Technology and social impact sectors.,"['EdTech', 'Social Impact']",40.0%,8.0,"{'seed': '10%', 'early': '25%', 'growth': '65%'}",150M$
Tremis Capital US,Medium,Low,USA,01-2024,Tremis Capital US is a mid-stage investment firm focusing on companies in various sectors.  They have a moderate deal flow and invest across different markets.,"['SaaS', 'Fintech', 'Healthtech']",40.0%,8.0,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
AdValorem Syndicate,Seed,Low,USA,03-2023,"AdValorem Syndicate is a seed-stage investment firm focusing on early-stage startups.  They are known for supporting innovative companies, potentially across various sectors including SaaS and Fintech.","['SaaS', 'Fintech']",20.0%,3.0,"{'seed': '85%', 'early': '10%', 'growth': '5%'}",15M$
Rob Hanna / Enduring Ventures,Seed,Low,USA,07-2022,Rob Hanna / Enduring Ventures is a seed-stage venture capital firm focusing on early-stage investments in technology and consumer-focused companies.  They have a low deal flow indicating a selective investment strategy.,"['Technology', 'Consumer Products']",20.0%,3.0,"{'seed': '85%', 'early': '10%', 'growth': '5%'}",35M$
Intbox Ventures,Pre-Seed,Low,USA,03-2022,Intbox Ventures is a newly established venture capital firm focusing on pre-seed investments.  They primarily invest in companies with innovative technologies in the SaaS and Fintech sectors.,"['SaaS', 'Fintech']",15.0%,3.0,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",15M$
TopazProp Ventures,Pre-Seed,Low,USA,01-2024,TopazProp Ventures is a venture capital firm that invests in early-stage real estate technology companies.  They focus on pre-seed investments and have a keen interest in innovative solutions for the proptech industry.,"['Real Estate Tech', 'Fintech']",15.0%,3.0,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",30M$
Melzi VC,Seed+,Low,Europe,03-2022,Melzi VC is a venture capital firm that invests in seed and Series A startups. They focus on B2B SaaS companies and have a strong network of mentors and advisors.,"['SaaS', 'Fintech']",20.0%,5.0,"{'seed': '70%', 'early': '25%', 'growth': '5%'}",50M$
Majic Capital,Seed+,Low,USA,03-2022,Majic Capital is a seed-stage venture capital firm focusing on early-stage investments in promising startups.  They are particularly interested in companies with innovative technologies and strong potential for growth in various sectors.,"['Fintech', 'SaaS', 'AI']",20.0%,3.0,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",35M$
SUM Ventures,Seed,Low,USA,01-2022,"SUM Ventures is a seed-stage venture capital firm focusing on early-stage investments in promising startups.  They have a portfolio of companies spanning various sectors, including technology and consumer goods.","['SaaS', 'Fintech', 'E-commerce']",20.0%,3.0,"{'seed': '85%', 'early': '10%', 'growth': '5%'}",35M$
The Mycelorium,Seed,Low,USA,01-2023,The Mycelorium is a seed-stage investment firm focusing on early-stage companies with innovative ideas.  They are particularly interested in the intersection of technology and sustainability.,"['Sustainability Tech', 'Biotech']",20.0%,3.0,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",35M$
Cavallon AI,Seed,Low,USA,01-2023,Cavallon AI is a seed-stage company focused on developing cutting-edge AI solutions.  Their work centers on innovative applications of AI technology.,"['AI', 'SaaS']",20.0%,3.0,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",15M$
Storied Ventures,Seed,Low,USA,01-2024,Storied Ventures is a venture capital firm that invests in seed-stage startups.  They focus on companies with innovative ideas and high-growth potential.,"['SaaS', 'Fintech']",20.0%,3.0,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",50M$
Sober Capital,Seed,New,USA,01-2024,Sober Capital is a new venture capital firm focusing on seed-stage investments.  They are likely to concentrate on companies with innovative business models and high-growth potential.,"['SaaS', 'Fintech', 'Healthtech']",0.0%,1.0,"{'seed': '90%', 'early': '10%', 'growth': '0%'}",5M$
Galactic Ventures,Seed+,New,USA,01-2024,Galactic Ventures is a newly established venture capital firm focusing on Seed+ investments.  They are likely targeting high-growth potential companies across various sectors.,"['AI', 'Fintech', 'SaaS']",30.437908496732025%,0.0,"{'seed': '90%', 'early': '10%', 'growth': '0%'}",5M$
Maverick Ventures,Seed,New,UK,12-2024,Maverick Ventures is a pioneering company in SaaS.,"['AI', 'Healthtech']",71.0%,28.0,"{'seed': '52%', 'early': '14%', 'growth': '12%'}",79$
Riceberg Ventures,Seed,New,USA,01-2024,Riceberg Ventures is a new venture capital firm focusing on seed-stage investments.  They are likely to invest across a range of sectors based on their early stage focus.,"['SaaS', 'Fintech', 'Healthtech']",0.0%,0.0,"{'seed': '100%', 'early': '0%', 'growth': '0%'}",0M$
Hero's Journey Capital,Pre-Seed,New,USA,01-2024,Hero's Journey Capital is a new venture capital firm focusing on pre-seed investments.  They are likely to concentrate on early-stage startups showing high growth potential across various sectors.,"['SaaS', 'Fintech', 'Healthtech']",30.437908496732025%,1.0,"{'seed': '90%', 'early': '5%', 'growth': '5%'}",10M$
Ikigai Syndicate,Seed,New,USA,01-2024,"Ikigai Syndicate is a new venture capital firm focusing on seed-stage investments.  They are likely to invest across a range of sectors, showing interest in high-growth potential.","['SaaS', 'Fintech', 'AI']",0.0%,1.0,"{'seed': '95%', 'early': '5%', 'growth': '0%'}",5M$
Meandros Ventures,Seed,New,Europe,01-2024,"Meandros Ventures is a new venture capital firm focusing on seed-stage investments.  They are likely to be active in a range of sectors, given their early stage focus.","['SaaS', 'Fintech', 'Healthtech']",30.437908496732025%,1.0,"{'seed': '95%', 'early': '5%', 'growth': '0%'}",5M$
co/fund,Seed,New,USA,01-2024,co/fund is a newly established venture capital firm focusing on seed-stage investments.  They are likely to concentrate on companies with high-growth potential in various sectors.,"['SaaS', 'Fintech', 'AI']",0.0%,0.0,"{'seed': '100%', 'early': '0%', 'growth': '0%'}",0$
Sola View Investments I - Med Tech,Pre-Seed,New,USA,01-2024,Sola View Investments I - Med Tech is a venture capital firm specializing in pre-seed investments within the medical technology sector.  They focus on early-stage companies with innovative solutions and high growth potential.,"['Healthtech', 'Medical Technology']",30.437908496732025%,1.0,"{'seed': '90%', 'early': '7%', 'growth': '3%'}",15M$
Stardust Ventures,Seed,New,India,01-2024,"Stardust Ventures is a new venture capital firm focusing on seed-stage investments.  They are likely to concentrate on the Indian market, investing in a range of sectors with high growth potential.","['SaaS', 'Fintech', 'Healthtech']",0.0%,2.0,"{'seed': '95%', 'early': '5%', 'growth': '0%'}",10M$
Model Ventures,Seed,New,USA,01-2024,"Model Ventures is a newly established venture capital firm focusing on seed-stage investments.  They are likely to concentrate on companies with high-growth potential, possibly within the technology sector.","['Technology', 'AI', 'SaaS']",0.0%,0.0,"{'seed': '100%', 'early': '0%', 'growth': '0%'}",0M$
Jessie Wu,Pre-Seed,New,USA,01-2024,Jessie Wu is a new venture capital firm focusing on pre-seed investments.  They are likely to invest in high-growth potential companies across a range of sectors.,"['SaaS', 'Fintech', 'Healthtech']",0.0%,1.0,"{'seed': '90%', 'early': '10%', 'growth': '0%'}",5M$
BuildTech,Seed,New,USA,01-2024,"BuildTech is a new venture capital firm focusing on seed-stage investments.  They are likely targeting companies in the construction technology sector, offering early-stage funding and support to help them grow.","['Construction Technology', 'Real Estate Technology']",0.0%,0.0,"{'seed': '100%', 'early': '0%', 'growth': '0%'}",0M$
